pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-157.999,-156.999,-155.999,-154.999,-153.999,-152.999,-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
6.4,14.911,1.4,1550.6,409.59,101.36,0.071889,21.591,43,3,2000,22387,20226,19857,19810,19833,20050,19728,19871,19901,19991,19678,19621,19538,19820,19201,18846,18866,18851,18543,18239,18131,17848,17044,16783,15467,13734,10797,6758.2,2105.1,1501.2,4719.2,8157.7,10995,13064,14760,15872,16486,16876,17132,17631,18019,18350,18549,18789,18742,19148,18774,18851,18871,18901,18680,18750,18957,18917,18729,18564,18506,18613,18536,18894,18684,18856,18871,18659,18763,18702,18672,18663,18475,18507,18659,18657,19015,19026,18959,19151,19254,19157,19308,19410,19397,19381,19592,19454,19524,19716,19632,19573,19488,19640
6.58,14.925,1.4,1499,437.36,89.455,0.055767,16.749,43,3,2000,18398,16738,16491,16430,16564,16592,16538,16621,16624,16531,16412,16564,16323,16169,15815,15859,15858,15775,15567,15367,14874,14841,14509,13754,13103,11842,9539.5,5557.9,1662.5,1641.3,4658.4,7757.5,9721.3,11400,12762,13461,13709,14353,14441,14934,15122,15577,15675,15525,15578,15645,15570,15685,15633,16015,15587,15618,15638,15707,15464,15375,15293,15423,15493,15715,15764,15799,15672,15944,15557,15604,15438,15526,15533,15676,15529,15757,15747,15812,15944,15860,16108,16139,16055,16040,16025,16139,16000,16074,16242,16323,16377,16218,16337,16230
6.74,14.866,1.4,1476.1,408.3,98.136,0.301,90.401,43,3,2000,22439,20786,20354,20326,20505,20257,20270,20291,20461,20159,20090,20208,20432,20061,19768,19549,19350,19273,19262,18901,18647,18644,18026,17721,16793,15975,14304,11348,7505.3,3060.3,1659.1,3938.2,7391.8,10153,12483,14627,15844,16524,16919,17437,17782,18195,18628,18879,18722,18666,18869,18917,18929,19094,19075,18923,18979,18826,18802,18726,18585,18168,18459,18370,18599,18540,18822,18776,18987,19019,19196,18951,19013,19148,19098,18923,19175,19270,19179,19461,19114,19332,19488,19778,19638,19867,19870,20088,19951,19764,19855,20268,19728,20126
6.87,14.79,1.4,1550.8,397.48,99.029,0.43866,131.74,43,3,2000,23856,22134,21868,21480,21660,21651,21584,21597,21458,21627,21312,21380,21446,21115,20771,20736,20632,20671,20486,20204,19957,19811,19405,18931,18561,17481,16343,14143,10412,5964.7,2104.2,2110,5334.1,9082.6,11779,14098,15787,16780,17663,18023,18913,19118,19640,19756,19801,20097,19867,19889,20120,20037,19887,19984,20194,19809,19871,19956,19706,19406,19340,19300,19327,19331,19416,19795,19629,20163,20179,20222,20113,20329,20175,20446,20336,20239,20424,20423,20461,20570,20674,20773,20841,20801,21170,21175,21232,21053,21151,21263,21506,21223
7,14.86,1.4,1533,381.14,96.842,0.39144,117.56,43,3,2000,23598,21693,21465,21465,21396,21225,21186,21193,21358,21306,21253,21284,21074,21112,20564,20752,20295,20235,20371,19968,19668,19592,19184,18557,18037,16747,15244,13010,9076.4,4518.8,1848.9,2579.3,6360.8,9887.1,12514,14439,15936,16988,17585,18432,18523,18995,19057,19391,19389,19349,19729,19493,19518,19937,19712,19935,19387,19402,19561,19499,19054,19007,18654,18739,18926,19076,19300,19109,19445,19867,20020,19631,20147,20008,20092,20204,20268,20167,20218,20448,20252,20316,20584,20527,20718,20648,20772,20714,20765,20807,21154,20980,21051,21021
6.23,14.966,0.6,611.05,289.25,95.47,0.20261,60.85,43,3,2000,22001,21349,21448,20943,21227,21087,21400,21269,21198,21174,21035,21041,21291,20784,20598,20456,20243,20434,20187,19903,19793,19703,19202,18487,17975,17070,15385,12422,7387.3,2911.8,4270.7,8810.7,12509,15132,16394,17579,18421,18926,19087,19388,19795,19783,20092,20003,20305,20370,20171,20194,20345,20494,20332,20480,20145,20411,20394,20513,20258,20305,20396,20362,20511,20478,20694,20684,20514,20521,20385,20611,20466,20377,20404,20413,20454,20362,20733,20705,20793,20741,20875,20708,20776,20713,20904,20753,20818,20892,20721,20848,20918,20867
6.4,14.937,0.6,603.54,289.08,89.832,0.14767,44.349,43,3,2000,19080,18225,18421,18317,18155,18525,18252,18298,18217,18329,18161,18089,18169,18115,17638,17475,17590,17615,17375,17278,17141,16940,16601,16109,15413,14640,13068,9868.9,5476.4,2520.6,5101.6,9182.8,11914,13902,14992,15677,16166,16599,16649,16939,17131,17306,17360,17420,17457,17676,17489,17596,17545,17883,17844,17664,17498,17650,17437,17285,17329,17484,17514,17731,17424,17782,17597,17690,17683,17742,17572,17646,17506,17668,17286,17586,17642,17711,17802,17782,17558,18003,17730,17897,17914,17989,17878,17837,18007,17943,18014,17702,17885,18001
6.55,14.882,0.6,629.57,286.01,93.104,0.47464,142.55,43,3,2000,21972,21377,21347,21355,21306,21222,21368,21224,21101,21262,21238,21200,21168,20963,20853,20678,20678,20549,20267,20376,20095,20033,19715,19628,19134,18594,17807,16321,13490,9749.1,4560.9,3313,7478.1,11587,14518,16244,17607,18224,18881,19386,19342,19476,19917,19991,20372,20246,20359,20509,20432,20320,20441,20538,20316,20302,20413,20357,20282,20314,20350,20282,20240,20291,20290,20337,20502,20490,20672,20419,20609,20637,20350,20243,20430,20540,20610,20647,20544,20648,20589,20791,20740,20887,20898,20921,20839,21077,20892,20982,20912,21189
6.71,14.866,0.6,611.44,283.93,85.203,0.72846,218.78,43,3,2000,22163,21563,21486,21437,21648,21448,21488,21452,21359,21428,21187,21160,21123,21483,20839,20851,20981,20583,20648,20666,20430,20094,20218,20110,19518,19537,18973,18252,16950,14973,11252,5876,3149.2,6458.7,11155,14112,16213,17627,18529,18899,19315,19645,19910,19971,20400,20375,20279,20208,20444,20488,20543,20470,20694,20572,20598,20801,20677,20520,20662,20591,20629,20264,20149,20146,20268,20529,20563,20528,20764,20421,20578,20913,20702,20735,20569,20704,20647,20643,20872,20927,21071,21026,21218,21251,21120,20891,20993,21156,21186,20834
6.87,14.982,0.6,583.35,277.89,83.037,0.66859,200.8,43,3,2000,20777,20103,20021,20102,19942,20034,20173,20003,20036,19780,19772,19821,19758,19569,19510,19501,19706,19410,19553,19209,19088,19093,18952,18540,18317,17887,17868,16902,15348,13103,9038.4,3707.7,3423.1,7665.1,11860,14316,16024,16976,17622,17762,18348,18762,18805,18661,18846,18871,19299,19085,19005,19080,19024,19235,19240,19355,19243,19177,19121,19180,19140,19179,18810,18745,18924,18760,18963,19156,19109,19038,19374,19134,19499,19400,19243,19112,19333,19402,19494,19367,19560,19376,19554,19405,19743,19460,19575,19755,19590,19446,19678,19569
6.98,14.945,0.6,577.88,261.5,87.426,0.54715,164.33,43,3,2000,19612,19039,18932,18891,18696,19069,18990,18772,18845,18934,18804,19004,18655,18757,18458,18544,18213,18163,18227,18143,17789,17645,17510,17474,17211,16769,16058,14909,13156,9983.2,5381.2,2750.4,5192.8,9717.1,12578,14405,15186,16135,16708,17153,17264,17689,17565,17688,17696,17912,18102,17854,17891,17892,17686,18164,17973,18283,17888,17969,17861,18154,18018,17654,17584,17674,17617,17968,18023,18018,17995,18095,18258,18375,18085,18316,18128,18191,18438,18235,18338,18190,18320,18280,18466,18406,18591,18531,18600,18611,18734,18422,18390,18630
